protein1 protein2
YFL005W YKL079W
YFL007W YHR200W
YFL007W YFR004W
YFL007W YGR135W
YFL007W YGR253C
YFL007W YOL038W
YFL007W YFR010W
YFL007W YDR427W
YFL007W YOR157C
YFL007W YOR261C
YFL007W YOR117W
YFL007W YPR108W
YFL007W YJL001W
YFL007W YFR052W
YFL007W YJL095W
YFL007W YER151C
YFL007W YPR103W
YFL007W YDL147W
YFL007W YIL007C
YFL007W YKL145W
YFL007W YBR173C
YFL007W YIL075C
YFL007W YDR363W-A
YFL007W YDL097C
YFL007W YDR394W
YFL007W YFR050C
YFL007W YOR259C
YFL007W YER012W
YFL007W YER094C
YFL007W YBL041W
YFL007W YML092C
YFL007W YLR421C
YFL007W YER021W
YFL007W YGL048C
YFL007W YOR362C
YFL007W YGL011C
YFL007W YHR027C
YFL007W YMR314W
YFL007W YHL030W
YFL007W YDL007W
YFL008W YGR098C
YFL008W YDR097C
YFL008W YMR076C
YFL008W YIL026C
YFL008W YDR325W
YFL008W YDR014W
YFL008W YFR031C
YFL008W YMR001C
YFL008W YDL102W
YFL008W YFR027W
YFL008W YEL032W
YFL008W YNL273W
YFL008W YDR217C
YFL008W YMR078C
YFL008W YNL250W
YFL008W YIL144W
YFL008W YDL064W
YFL008W YGR218W
YFL008W YBL097W
YFL008W YDR288W
YFL008W YJL074C
YFL008W YPR019W
YFL008W YLR045C
YFL008W YOL034W
YFL008W YDR180W
YFL008W YLR383W
YFL008W YLR086W
YFL008W YNL102W
YFL008W YLR208W
YFL008W YGR280C
YFL008W YPR007C
YFL008W YBL084C
YFL008W YOL090W
YFL008W YOR026W
YFL008W YDL105W
YFL008W YLR007W
YFL008W YLR272C
YFL008W YOR217W
YFL008W YDL003W
YFL008W YEL019C
YFL008W YNL262W
YFL009W YER116C
YFL009W YLR127C
YFL009W YOL133W
YFL009W YJR090C
YFL009W YDL132W
YFL009W YHR166C
YFL009W YPL256C
YFL009W YNL172W
YFL009W YDL013W
YFL009W YBL084C
YFL009W YDR328C
YFL009W YLR079W
YFL009W YJL157C
YFL009W YDL008W
YFL009W YAL040C
YFL009W YGL240W
YFL009W YDR054C
YFL009W YJL194W
YFL009W YMR119W
YFL009W YNL008C
YFL009W YIL046W
YFL009W YKL022C
YFL009W YBR160W
YFL013C YLR385C
YFL013C YBR231C
YFL013C YLR085C
YFL013C YER092W
YFL013C YEL044W
YFL013C YLR399C
YFL013C YFL039C
YFL013C YPL129W
YFL013C YGR002C
YFL013C YDR485C
YFL013C YDR334W
YFL013C YDL002C
YFL013C YDR190C
YFL013C YNL059C
YFL013C YPL235W
YFL013C YJL081C
YFL013C YGL150C
YFL013C YOR189W
YFL013C YLR052W
YFL013C YML041C
YFL013C YNL107W
YFL013C YOR141C
YFL014W YNL160W
YFL014W YLR178C
YFL014W YMR105C
YFL014W YBR072W
YFL014W YOL052C-A
YFL014W YGR248W
YFL014W YMR250W
YFL014W YML128C
YFL014W YMR251W-A
YFL014W YMR169C
YFL014W YHR087W
YFL014W YGR008C
YFL014W YGR043C
YFL014W YGR088W
YFL016C YER103W
YFL016C YAL005C
YFL016C YBL075C
YFL016C YNL328C
YFL016C YNL007C
YFL016C YDR258C
YFL016C YIL022W
YFL016C YOR232W
YFL016C YLL024C
YFL016C YLR008C
YFL016C YLR369W
YFL016C YEL030W
YFL016C YLR259C
YFL016C YJR045C
YFL016C YPL106C
YFL016C YGL018C
YFL016C YBR169C
YFL017C YFR053C
YFL017C YDL103C
YFL017C YLR446W
YFL017C YGL253W
YFL017C YEL058W
YFL017C YKL104C
YFL017C YMR084W
YFL017C YDR516C
YFL017C YCL040W
YFL017W-A YHR165C
YFL017W-A YNL113W
YFL017W-A YMR240C
YFL017W-A YDR240C
YFL017W-A YER172C
YFL017W-A YHR156C
YFL017W-A YLR117C
YFL017W-A YGR075C
YFL017W-A YOR210W
YFL017W-A YMR125W
YFL017W-A YPL064C
YFL017W-A YHR086W
YFL017W-A YDR378C
YFL017W-A YPR101W
YFL017W-A YGR074W
YFL017W-A YBR119W
YFL017W-A YGL174W
YFL017W-A YML049C
YFL017W-A YIL061C
YFL017W-A YGR013W
YFL017W-A YGL120C
YFL017W-A YHR072W-A
YFL017W-A YBR154C
YFL017W-A YER112W
YFL017W-A YDR235W
YFL017W-A YKL173W
YFL017W-A YIR009W
YFL017W-A YKR086W
YFL017W-A YPR182W
YFL017W-A YDL209C
YFL017W-A YDL098C
YFL017W-A YCR020C-A
YFL017W-A YGR278W
YFL017W-A YNR011C
YFL017W-A YDR088C
YFL017W-A YPL213W
YFL017W-A YLR323C
YFL017W-A YBL074C
YFL017W-A YLR298C
YFL017W-A YDR163W
YFL017W-A YLL036C
YFL017W-A YJR034W
YFL017W-A YNR032C-A
YFL017W-A YGR129W
YFL017W-A YPL151C
YFL017W-A YBL026W
YFL017W-A YEL026W
YFL017W-A YJR022W
YFL017W-A YDR473C
YFL017W-A YER029C
YFL017W-A YLR424W
YFL017W-A YKL095W
YFL017W-A YPR094W
YFL017W-A YJR050W
YFL017W-A YLR147C
YFL017W-A YJL203W
YFL017W-A YLR438C-A
YFL017W-A YOR319W
YFL017W-A YLR016C
YFL017W-A YMR288W
YFL017W-A YCR063W
YFL017W-A YDR243C
YFL017W-A YDR416W
YFL017W-A YOR308C
YFL017W-A YDR482C
YFL017W-A YLR275W
YFL017W-A YER013W
YFL017W-A YNL245C
YFL017W-A YNL147W
YFL017W-A YBR055C
YFL017W-A YIR005W
YFL017W-A YNL138W-A
YFL017W-A YGR091W
YFL017W-A YMR213W
YFL017W-A YPR082C
YFL017W-A YDL087C
YFL017W-A YOR159C
YFL017W-A YDL030W
YFL017W-A YLR259C
YFL017W-A YEL020W-A
YFL017W-A YKL012W
YFL017W-A YPR178W
YFL017W-A YGR181W
YFL017W-A YHR005C-A
YFL017W-A YBR065C
YFL017W-A YGR006W
YFL017W-A YDL043C
YFL017W-A YML046W
YFL017W-A YAL032C
YFL017W-A YNL286W
YFL017W-A YER146W
YFL017W-A YDR364C
YFL017W-A YOL005C
YFL017W-A YBR152W
YFL018C YOR136W
YFL018C YLR163C
YFL018C YFL030W
YFL018C YIL125W
YFL018C YKR080W
YFL018C YGL125W
YFL018C YPL262W
YFL018C YAL062W
YFL018C YMR189W
YFL018C YLR044C
YFL018C YNL037C
YFL018C YDL080C
YFL018C YOR375C
YFL018C YBR221C
YFL018C YFR049W
YFL018C YDR019C
YFL018C YBR039W
YFL018C YGR244C
YFL018C YNL071W
YFL018C YLR058C
YFL018C YGR193C
YFL018C YLL041C
YFL018C YPR191W
YFL018C YJL046W
YFL018C YOR236W
YFL018C YKL085W
YFL018C YAL044C
YFL018C YER178W
YFL018C YDR148C
YFL018C YPL023C
YFL018C YLR304C
YFL018C YLR134W
YFL018C YGR087C
YFL018C YBR263W
YFL018C YOR142W
YFL020C YLR461W
YFL020C YLL064C
YFL020C YNR076W
YFL020C YIR041W
YFL020C YAL068C
YFL020C YCR104W
YFL020C YKL224C
YFL020C YOR009W
YFL020C YGL261C
YFL020C YDR542W
YFL020C YBR301W
YFL020C YLL025W
YFL020C YHL046C
YFL020C YJL223C
YFL020C YEL049W
YFL020C YAR020C
YFL020C YMR325W
YFL020C YIL176C
YFL020C YLR037C
YFL020C YGR294W
YFL020C YOL161C
YFL021W YNL229C
YFL021W YER040W
YFL022C YFL005W
YFL022C YPR033C
YFL022C YGR185C
YFL022C YDR037W
YFL022C YGL148W
YFL022C YBL076C
YFL022C YLR060W
YFL022C YHR019C
YFL022C YGR094W
YFL022C YIL078W
YFL022C YDR023W
YFL023W YBR154C
YFL023W YLR200W
YFL024C YDR334W
YFL024C YDR181C
YFL024C YPL235W
YFL024C YNL136W
YFL024C YJR082C
YFL024C YOR213C
YFL024C YNL107W
YFL024C YBR009C
YFL024C YDR359C
YFL024C YMR127C
YFL024C YOR023C
YFL024C YGR002C
YFL024C YDR448W
YFL024C YBL052C
YFL024C YDR176W
YFL024C YPL254W
YFL024C YHR090C
YFL024C YDR190C
YFL024C YHR099W
YFL024C YJL081C
YFL024C YEL018W
YFL024C YPR023C
YFL024C YOR244W
YFL024C YGR252W
YFL024C YFL039C
YFL025C YLR459W
YFL025C YHR188C
YFL025C YCR044C
YFL025C YDR331W
YFL025C YDR434W
YFL025C YLR088W
YFL026W YNL145W
YFL026W YGL032C
YFL026W YOR212W
YFL026W YHR084W
YFL026W YLR452C
YFL026W YBL016W
YFL026W YIL015W
YFL026W YLR362W
YFL026W YPL187W
YFL026W YGR040W
YFL026W YNL154C
YFL026W YJR086W
YFL026W YHR135C
YFL026W YER125W
YFL026W YDL159W
YFL026W YDR461W
YFL026W YKL209C
YFL026W YDR103W
YFL026W YKL178C
YFL026W YGL089C
YFL026W YHR005C
YFL027C YPL249C
YFL027C YGR100W
YFL027C YFL038C
YFL027C YOR070C
YFL027C YDL234C
YFL028C YDR252W
YFL028C YCR093W
YFL028C YAL021C
YFL028C YER068W
YFL028C YNL288W
YFL028C YIL038C
YFL028C YDL165W
YFL028C YKR036C
YFL028C YNR052C
YFL028C YGR134W
YFL028C YDR061W
YFL028C YPR072W
YFL029C YBR160W
YFL029C YBR135W
YFL029C YPR119W
YFL029C YJL194W
YFL029C YBR088C
YFL029C YPL042C
YFL029C YPR025C
YFL029C YMR036C
YFL029C YDL108W
YFL029C YGR108W
YFL029C YDR460W
YFL029C YJL187C
YFL029C YOL128C
YFL029C YJL006C
YFL030W YGR208W
YFL030W YPL262W
YFL030W YGR155W
YFL030W YIR031C
YFL030W YDR232W
YFL030W YDR050C
YFL030W YDR111C
YFL030W YEL046C
YFL030W YKL106W
YFL030W YDR019C
YFL030W YFR006W
YFL030W YNL117W
YFL030W YMR189W
YFL030W YGL026C
YFL030W YCL064C
YFL030W YFL018C
YFL030W YNL274C
YFL030W YAL044C
YFL030W YBL098W
YFL030W YLR089C
YFL030W YLR174W
YFL030W YLR058C
YFL030W YPR006C
YFL030W YBR263W
YFL030W YER086W
YFL030W YML054C
YFL030W YPL113C
YFL030W YER065C
YFL030W YLR304C
YFL031W YCL043C
YFL031W YJL034W
YFL031W YMR242C
YFL031W YHR079C
YFL033C YGL190C
YFL033C YKL062W
YFL033C YDR207C
YFL033C YJR066W
YFL033C YHR205W
YFL033C YNL098C
YFL033C YJL164C
YFL033C YDR096W
YFL033C YNL157W
YFL033C YHR132W-A
YFL033C YMR037C
YFL034C-A YML063W
YFL034C-A YDR101C
YFL034C-A YOL127W
YFL034C-A YLR061W
YFL034C-A YML024W
YFL034C-A YDR385W
YFL034C-A YPR132W
YFL034C-A YOR182C
YFL034C-A YHL015W
YFL034C-A YKR057W
YFL034C-A YPR102C
YFL034C-A YHL033C
YFL034C-A YGL076C
YFL034C-A YMR116C
YFL034C-A YLR167W
YFL034C-A YLR075W
YFL034C-A YJR113C
YFL034C-A YDL136W
YFL034C-A YGR027C
YFL034C-A YHR141C
YFL034C-A YLR264W
YFL034C-A YNL096C
YFL034C-A YLR441C
YFL034C-A YOL120C
YFL034C-A YGR148C
YFL034C-A YGR214W
YFL034C-A YDL130W
YFL034C-A YBR191W
YFL034C-A YPR043W
YFL034C-A YLR388W
YFL034C-A YMR121C
YFL034C-A YPL081W
YFL034C-A YOR133W
YFL034C-A YGL103W
YFL034C-A YLR344W
YFL034C-A YBR189W
YFL034C-A YOR167C
YFL034C-A YDL075W
YFL034C-A YMR143W
YFL034C-A YNL302C
YFL034C-A YLR448W
YFL034C-A YIL018W
YFL034C-A YOL040C
YFL034C-A YCR031C
YFL034C-A YDL081C
YFL034C-A YBR048W
YFL034C-A YPL249C-A
YFL034C-A YJR123W
YFL034C-A YLR325C
YFL034C-A YLR406C
YFL034C-A YLR185W
YFL034C-A YHR021C
YFL034C-A YKL006W
YFL034C-A YGL147C
YFL034C-A YDR418W
YFL034C-A YOR096W
YFL034C-A YGL135W
YFL034C-A YPL131W
YFL034C-A YJR094W-A
YFL034C-A YER074W
YFL034C-A YIL069C
YFL034C-A YLR009W
YFL034C-A YBR181C
YFL034C-A YLR048W
YFL034C-A YPL198W
YFL034C-A YGR034W
YFL034C-A YER117W
YFL034C-A YML026C
YFL034C-A YMR194W
YFL034C-A YOR063W
YFL034C-A YGR085C
YFL034C-A YDL061C
YFL034C-A YER131W
YFL034C-A YBR031W
YFL034C-A YPL090C
YFL034C-A YHL001W
YFL034C-A YHR010W
YFL034C-A YFR031C-A
YFL034C-A YJL190C
YFL034C-A YDR064W
YFL034C-A YLR333C
YFL034C-A YJL189W
YFL034C-A YOL039W
YFL034C-A YER056C-A
YFL034C-A YNL301C
YFL034C-A YNL162W
YFL034C-A YBL027W
YFL034C-A YLR367W
YFL034C-A YBL092W
YFL034C-A YFR032C-A
YFL034C-A YJL177W
YFL034C-A YOR312C
YFL034C-A YLR287C-A
YFL034C-A YIL148W
YFL034C-A YNL002C
YFL034C-A YJL136C
YFL034C-A YKL180W
YFL034C-A YGL189C
YFL034C-A YBL087C
YFL034C-A YKL156W
YFL034C-A YDR447C
YFL034C-A YER102W
YFL034C-A YPL143W
YFL034C-A YPR016C
YFL034C-A YLR340W
YFL034C-A YGL031C
YFL034C-A YOL121C
YFL034C-A YAL003W
YFL034C-A YNL069C
YFL034C-A YNL081C
YFL034C-A YEL054C
YFL034C-A YDR500C
YFL034C-A YDR382W
YFL034C-A YLL045C
YFL034C-A YKR094C
YFL034C-A YNL067W
YFL034C-A YDL191W
YFL034C-A YMR242C
YFL034C-A YGL123W
YFL034C-A YNL178W
YFL034C-A YML073C
YFL034C-A YLR029C
YFL034C-A YIL133C
YFL034C-A YDR450W
YFL034C-A YJL191W
YFL034C-A YDR471W
YFL034C-A YDL082W
YFL034C-A YPL220W
YFL034C-A YHR203C
YFL034C-A YGL030W
YFL034C-A YDR012W
YFL034C-A YBL072C
YFL034C-A YMR142C
YFL034C-A YDL083C
YFL034C-A YOR234C
YFL034C-A YBR084C-A
YFL034C-A YOR369C
YFL034C-A YDR025W
YFL034C-A YOR293W
YFL034C-A YMR230W
YFL034C-A YPL079W
YFL034C-A YJR145C
YFL034C-A YGR118W
YFL034C-A YIL052C
YFL034C-B YLR131C
YFL034C-B YNL161W
YFL034C-B YOR353C
YFL034C-B YIL129C
YFL034C-B YKL189W
YFL034C-B YGR092W
YFL034C-B YHR102W
YFL036W YPL029W
YFL036W YMR228W
YFL036W YOR330C
YFL036W YGL068W
YFL036W YPL266W
YFL036W YDL044C
YFL036W Q0085
YFL036W YLR067C
YFL037W YNL031C
YFL037W YOR257W
YFL037W YGL216W
YFL037W YBR118W
YFL037W YBR109C
YFL037W YNL148C
YFL037W YML124C
YFL037W YOR349W
YFL037W YOR265W
YFL037W YIL144W
YFL037W YCL029C
YFL037W YJL052W
YFL037W YEL061C
YFL037W YBL063W
YFL037W YMR138W
YFL037W YKL079W
YFL037W YHR172W
YFL037W YBL034C
YFL037W YFL005W
YFL037W YKR054C
YFL037W YLR045C
YFL037W YJR009C
YFL037W YPR165W
YFL037W YML085C
YFL037W YER016W
YFL037W YER007W
YFL037W YGR192C
YFL037W YBR010W
YFL037W YJL030W
YFL037W YER184C
YFL037W YNL126W
YFL037W YPR141C
YFL037W YFL039C
YFL037W YPR080W
YFL037W YOR151C
YFL038C YDR517W
YFL038C YML001W
YFL038C YGL198W
YFL038C YNL258C
YFL038C YPR176C
YFL038C YPR181C
YFL038C YPR017C
YFL038C YKL196C
YFL038C YPL249C
YFL038C YBR254C
YFL038C YDR407C
YFL038C YNL263C
YFL038C YOR370C
YFL038C YOR070C
YFL038C YDR472W
YFL038C YER157W
YFL038C YBR011C
YFL038C YDR246W
YFL038C YPL218W
YFL038C YML077W
YFL038C YFL005W
YFL038C YDR170C
YFL038C YER136W
YFL038C YLR208W
YFL038C YDL058W
YFL038C YOR115C
YFL038C YDR108W
YFL038C YIL004C
YFL038C YPR049C
YFL038C YLR026C
YFL038C YLR396C
YFL038C YNL044W
YFL038C YBL050W
YFL038C YLR262C
YFL038C YDL195W
YFL038C YBR080C
YFL038C YLR078C
YFL038C YER031C
YFL038C YDR189W
YFL038C YLR268W
YFL038C YJL031C
YFL038C YFL027C
YFL038C YKR068C
YFL038C YEL022W
YFL038C YIL109C
YFL038C YGR172C
YFL038C YMR218C
YFL038C YGL180W
YFL038C YDR164C
YFL038C YNL287W
YFL038C YOR075W
YFL038C YML012W
YFL038C YGL210W
YFL039C YKL129C
YFL039C YIL062C
YFL039C YDL161W
YFL039C YDR448W
YFL039C YPL269W
YFL039C YGR002C
YFL039C YMR127C
YFL039C YDR485C
YFL039C YNL215W
YFL039C YNL059C
YFL039C YHR114W
YFL039C YNL107W
YFL039C YOR290C
YFL039C YFL005W
YFL039C YFL037W
YFL039C YLR337C
YFL039C YGL106W
YFL039C YDR172W
YFL039C YPR080W
YFL039C YCR012W
YFL039C YPL240C
YFL039C YNL090W
YFL039C YDL143W
YFL039C YGR252W
YFL039C YMR186W
YFL039C YBL007C
YFL039C YDR359C
YFL039C YMR109W
YFL039C YIL118W
YFL039C YML124C
YFL039C YNL079C
YFL039C YIL034C
YFL039C YPL254W
YFL039C YLR319C
YFL039C YDR176W
YFL039C YOR122C
YFL039C YBR118W
YFL039C YNL084C
YFL039C YOR213C
YFL039C YDL140C
YFL039C YLL050C
YFL039C YNL271C
YFL039C YFL024C
YFL039C YOR141C
YFL039C YGR167W
YFL039C YOR094W
YFL039C YEL044W
YFL039C YER092W
YFL039C YPL129W
YFL039C YEL021W
YFL039C YBR234C
YFL039C YOR181W
YFL039C YHR090C
YFL039C YEL018W
YFL039C YBR160W
YFL039C YML041C
YFL039C YOR189W
YFL039C YDR212W
YFL039C YLR206W
YFL039C YIL142W
YFL039C YLR385C
YFL039C YJR009C
YFL039C YOR239W
YFL039C YPR165W
YFL039C YDL192W
YFL039C YMR032W
YFL039C YIL138C
YFL039C YGR080W
YFL039C YDR181C
YFL039C YDR334W
YFL039C YDL002C
YFL039C YJR064W
YFL039C YNR035C
YFL039C YLR229C
YFL039C YPL235W
YFL039C YJL005W
YFL039C YPL242C
YFL039C YLR429W
YFL039C YKR001C
YFL039C YLR052W
YFL039C YKR054C
YFL039C YBR231C
YFL039C YAL041W
YFL039C YHR016C
YFL039C YLL021W
YFL039C YCR009C
YFL039C YJR065C
YFL039C YBL105C
YFL039C YNL126W
YFL039C YIL126W
YFL039C YDR190C
YFL039C YHR129C
YFL039C YGR192C
YFL039C YMR092C
YFL039C YCR088W
YFL039C YBR010W
YFL039C YML085C
YFL039C YHL007C
YFL039C YOR244W
YFL039C YBR109C
YFL039C YIL159W
YFL039C YOR023C
YFL039C YLR370C
YFL039C YDR129C
YFL039C YBR200W
YFL039C YAL011W
YFL039C YNL136W
YFL039C YJR082C
YFL039C YPR188C
YFL039C YOR367W
YFL039C YAL029C
YFL039C YNL031C
YFL039C YLR085C
YFL039C YDR388W
YFL039C YLR399C
YFL039C YIR006C
YFL039C YHR023W
YFL039C YFL013C
YFL039C YNL298W
YFL039C YNL243W
YFL039C YNL138W
YFL039C YJL081C
YFL039C YGL150C
YFL039C YHR099W
YFL039C YDL029W
YFL039C YPR023C
YFL039C YOL012C
YFL039C YJL052W
YFL039C YOR326W
YFL041W YER145C
YFL041W YLR034C
YFL041W YBR207W
YFL044C YHL013C
YFL044C YDL190C
YFL044C YBR170C
YFL044C YFR010W
YFL044C YGR048W
YFL044C YKL213C
YFL044C YLL039C
YFL044C YBR058C
YFL044C YLR167W
YFL044C YDL126C
YFL045C YPR183W
YFL045C YGL065C
YFL045C YDL055C
YFL045C YCL040W
YFL045C YDR516C
YFL045C YLR446W
YFL045C YGL253W
YFL045C YNR073C
YFL045C YER003C
YFL045C YEL070W
YFL045C YFR053C
YFL047W YBR260C
YFL048C YLR080W
YFL048C YPR181C
YFL049W YNR023W
YFL049W YBR289W
YFL049W YDR073W
YFL049W YPL016W
YFL049W YPL129W
YFL049W YJL176C
YFL049W YOR290C
YFL049W YPR034W
YFL049W YHL025W
YFL049W YMR033W
YFL049W YGR275W
YFL050C YPL060W
YFL050C YOR334W
YFL051C YNL019C
YFL051C YFL067W
YFL051C YNL033W
YFL053W YDR050C
YFL053W YIL155C
YFL053W YOL059W
YFL053W YOR120W
YFL053W YDL022W
YFL053W YKL060C
YFL054C YFL055W
YFL055W YFL054C
YFL056C YDL243C
YFL056C YFL057C
YFL057C YDL243C
YFL057C YLL060C
YFL057C YFL056C
YFL058W YOL055C
YFL058W YPL214C
YFL058W YGR144W
YFL058W YPL258C
YFL059W YNL334C
YFL059W YNL333W
YFL059W YMR096W
YFL059W YFL060C
YFL059W YMR095C
YFL060C YMR095C
YFL060C YMR096W
YFL060C YFL059W
YFL060C YNL333W
YFL060C YNL334C
YFL061W YNL335W
YFL062W YNL336W
YFL062W YJR161C
YFL062W YBR302C
YFL062W YML132W
YFL063W YJR162C
YFL063W YNL337W
YFL064C YFL065C
YFL064C YFL066C
YFL064C YFL067W
YFL065C YFL067W
YFL065C YFL066C
YFL065C YFL064C
YFL066C YFL064C
YFL066C YFL067W
YFL066C YHL049C
YFL066C YHR219W
YFL066C YFL065C
YFL067W YHR218W
YFL067W YFL066C
YFL067W YLL066W-A
YFL067W YFL064C
YFL067W YFL051C
YFL067W YHR219W
YFL067W YHL050C
YFL067W YFL065C
YFR001W YIR012W
YFR001W YKL082C
YFR001W YOR046C
YFR001W YLR009W
YFR001W YLL008W
YFR001W YLR197W
YFR001W YLR002C
YFR001W YDR060W
YFR001W YGL171W
YFR001W YDR087C
YFR001W YBL028C
YFR001W YKL009W
YFR001W YGL111W
YFR001W YHR052W
YFR001W YGL135W
YFR001W YGR218W
YFR001W YPL043W
YFR001W YPR016C
YFR001W YPL093W
YFR001W YNL002C
YFR001W YFL002C
YFR001W YDL153C
YFR001W YMR290C
YFR001W YBR267W
YFR001W YGL029W
YFR001W YLL034C
YFR001W YOR206W
YFR001W YDR418W
YFR001W YAL025C
YFR001W YLR106C
YFR001W YLR175W
YFR001W YKL180W
YFR001W YOL077C
YFR001W YLR221C
YFR001W YIR026C
YFR001W YLR449W
YFR001W YKL185W
YFR001W YPL169C
YFR001W YER126C
YFR001W YNR053C
YFR001W YGL076C
YFR001W YLR185W
YFR001W YOL041C
YFR001W YDL136W
YFR001W YJL177W
YFR001W YGR245C
YFR001W YPR143W
YFR001W YLR276C
YFR001W YKL099C
YFR001W YBL027W
YFR001W YER056C-A
YFR001W YGL078C
YFR001W YKR081C
YFR001W YER082C
YFR001W YHR085W
YFR001W YNR038W
YFR001W YKL130C
YFR001W YPL211W
YFR001W YDR471W
YFR001W YNL061W
YFR001W YLR074C
YFR001W YER036C
YFR001W YOR294W
YFR001W YHR088W
YFR001W YNL110C
YFR001W YAL035W
YFR001W YER002W
YFR001W YNL227C
YFR001W YGR103W
YFR001W YDR496C
YFR001W YDL191W
YFR001W YDL031W
YFR001W YLR397C
YFR001W YPL226W
YFR001W YLR435W
YFR001W YGR271C-A
YFR001W YOL127W
YFR001W YJL033W
YFR001W YNL224C
YFR001W YGR159C
YFR001W YCL054W
YFR001W YHR170W
YFR001W YHL001W
YFR001W YDR101C
YFR001W YJL010C
YFR001W YMR049C
YFR001W YHR066W
YFR001W YKL172W
YFR001W YER006W
YFR001W YAL059W
YFR001W YPL217C
YFR001W YDR500C
YFR001W YKR024C
YFR001W YOR272W
YFR001W YOR063W
YFR002W YBL075C
YFR002W YKL057C
YFR002W YMR125W
YFR002W YDL088C
YFR002W YIL115C
YFR002W YNL317W
YFR002W YDR381W
YFR002W YLR369W
YFR002W YEL030W
YFR002W YKL068W
YFR002W YIL149C
YFR002W YKL073W
YFR002W YJL041W
YFR002W YJL034W
YFR002W YKR082W
YFR002W YNL021W
YFR002W YDL207W
YFR002W YLR115W
YFR002W YJR042W
YFR002W YAL005C
YFR002W YGL172W
YFR002W YJL039C
YFR002W YLL024C
YFR002W YDR301W
YFR002W YLR208W
YFR002W YOR098C
YFR002W YJR093C
YFR002W YER103W
YFR002W YGR119C
YFR002W YDL116W
YFR002W YMR129W
YFR002W YMR153W
YFR002W YDR002W
YFR002W YER105C
YFR002W YML103C
YFR002W YGL097W
YFR002W YLR277C
YFR002W YAR002W
YFR002W YJL061W
YFR002W YBR169C
YFR002W YDL064W
YFR002W YGL092W
YFR002W YOL032W
YFR002W YPL106C
YFR002W YGL100W
YFR002W YER107C
YFR002W YJR045C
YFR002W YDR192C
YFR002W YBL079W
YFR002W YLR347C
YFR002W YDR510W
YFR002W YPL169C
YFR002W YAL043C
YFR002W YMR047C
YFR002W YKR095W
YFR002W YPL178W
YFR002W YLR335W
YFR003C YKL193C
YFR003C YML016C
YFR003C YER133W
YFR003C YDR436W
YFR003C YBL058W
YFR003C YMR311C
YFR003C YPL179W
YFR004W YDR363W-A
YFR004W YLR167W
YFR004W YDL097C
YFR004W YDL126C
YFR004W YIL075C
YFR004W YKL145W
YFR004W YGL048C
YFR004W YOR362C
YFR004W YLR421C
YFR004W YML092C
YFR004W YER021W
YFR004W YER094C
YFR004W YER012W
YFR004W YBL041W
YFR004W YFR050C
YFR004W YDR394W
YFR004W YOR259C
YFR004W YFL005W
YFR004W YGL141W
YFR004W YLL039C
YFR004W YGL011C
YFR004W YBR058C
YFR004W YDL007W
YFR004W YJL008C
YFR004W YHL030W
YFR004W YHR027C
YFR004W YMR314W
YFR004W YKL210W
YFR004W YGR232W
YFR004W YIL148W
YFR004W YHR200W
YFR004W YJR007W
YFR004W YJR099W
YFR004W YEL037C
YFR004W YOL038W
YFR004W YGR253C
YFR004W YGR135W
YFR004W YFL007W
YFR004W YJL001W
YFR004W YPR108W
YFR004W YDR177W
YFR004W YDR427W
YFR004W YOR117W
YFR004W YOR261C
YFR004W YOR157C
YFR004W YHR193C
YFR004W YFR010W
YFR004W YGL004C
YFR004W YDL147W
YFR004W YER143W
YFR004W YIL007C
YFR004W YER151C
YFR004W YKR094C
YFR004W YMR276W
YFR004W YHL013C
YFR004W YPR103W
YFR004W YFR052W
YFR004W YJL095W
YFR005C YGR091W
YFR005C YOR159C
YFR005C YOR308C
YFR005C YDR243C
YFR005C YDR473C
YFR005C YER172C
YFR005C YHR165C
YFR005C YJR022W
YFR005C YKL173W
YFR006W YKL106W
YFR006W YFL030W
YFR006W YPL262W
YFR006W YDR050C
YFR006W YGR019W
YFR006W YMR111C
YFR006W YLR304C
YFR006W YPL236C
YFR008W YNL127W
YFR008W YDR200C
YFR008W YMR052W
YFR008W YLR238W
YFR008W YMR029C
YFR009W YDR283C
YFR009W YGL195W
YFR010W YER021W
YFR010W YOR124C
YFR010W YML092C
YFR010W YLR421C
YFR010W YOR362C
YFR010W YGL048C
YFR010W YOR259C
YFR010W YDR394W
YFR010W YFR050C
YFR010W YBL041W
YFR010W YER012W
YFR010W YER094C
YFR010W YIL075C
YFR010W YDL126C
YFR010W YDL097C
YFR010W YLR167W
YFR010W YDR363W-A
YFR010W YKL145W
YFR010W YDL007W
YFR010W YKL213C
YFR010W YKL010C
YFR010W YMR314W
YFR010W YKL210W
YFR010W YHR027C
YFR010W YDL216C
YFR010W YHL030W
YFR010W YLL039C
YFR010W YGL141W
YFR010W YBR058C
YFR010W YGL011C
YFR010W YGR048W
YFR010W YOL038W
YFR010W YEL037C
YFR010W YJR099W
YFR010W YFL007W
YFR010W YGR135W
YFR010W YGR253C
YFR010W YIL148W
YFR010W YFR004W
YFR010W YFL044C
YFR010W YHR200W
YFR010W YJL197W
YFR010W YER143W
YFR010W YDL147W
YFR010W YDR069C
YFR010W YFR052W
YFR010W YPR103W
YFR010W YMR276W
YFR010W YKR094C
YFR010W YPR108W
YFR010W YJL001W
YFR010W YNL186W
YFR010W YOR261C
YFR010W YOR157C
YFR010W YOR117W
YFR010W YDR427W
YFR011C YBR262C
YFR011C YKR016W
YFR011C YNL026W
