protein1 protein2
Q0130 YEL051W
Q0130 YOL077W-A
Q0130 YML054C
Q0130 YDR375C
Q0130 YLR067C
Q0130 YLR447C
Q0130 YLR304C
Q0130 YPL078C
Q0130 YNR001C
Q0140 Q0105
Q0140 YDR347W
Q0140 YGR084C
Q0140 YBR251W
Q0140 YMR158W
Q0140 YNR037C
Q0140 YJR113C
Q0140 YNL137C
Q0140 YKL155C
Q0140 YDL045W-A
Q0140 YHR075C
Q0140 YOR158W
Q0140 YKL003C
Q0140 YNR036C
Q0140 YDR036C
Q0140 Q0130
Q0140 YBR146W
Q0140 YNL306W
Q0140 YPR166C
Q0140 YGR165W
Q0140 YDR337W
Q0140 Q0085
Q0140 YDR175C
Q0140 YHL004W
Q0140 YPL013C
Q0140 YGR215W
Q0140 YDR041W
Q0140 YML009C
Q0140 YBL090W
Q0140 YGL129C
Q0140 Q0045
Q0140 YER050C
Q0140 YPL118W
Q0140 YIL093C
Q0140 YMR188C
Q0140 YJR101W
Q0140 YDR494W
Q0142 Q0297
Q0143 Q0017
Q0143 Q0182
Q0143 Q0297
Q0143 Q0032
Q0143 Q0010
Q0143 Q0092
Q0160 YLR378C
Q0160 YDL185W
Q0182 Q0032
Q0182 Q0010
Q0182 Q0297
Q0182 Q0143
Q0182 Q0017
Q0250 YLR395C
Q0250 YBL045C
Q0250 YML120C
Q0250 Q0045
Q0250 YIL111W
Q0250 YML030W
Q0250 YGL187C
Q0250 Q0060
Q0250 YBR037C
Q0250 Q0275
Q0250 YDR119W-A
Q0250 Q0120
Q0250 YLL009C
Q0250 YHR051W
Q0250 YNR018W
Q0250 YPL132W
Q0250 YLR163C
Q0250 YBL099W
Q0250 YMR256C
Q0250 YGL191W
Q0250 YDL085W
Q0250 YGR112W
Q0250 YLR203C
Q0250 YER154W
Q0250 YMR145C
Q0250 Q0110
Q0250 YMR257C
Q0250 Q0065
Q0250 YGL226W
Q0250 YPL172C
Q0250 YEL024W
Q0250 Q0050
Q0250 YFR033C
Q0250 YLR038C
Q0250 YHR001W-A
Q0250 YDL067C
Q0250 Q0070
Q0250 Q0105
Q0250 YDR231C
Q0250 YDR529C
Q0250 YGR183C
Q0250 YNL052W
Q0250 Q0115
Q0250 YOR065W
Q0250 YJL166W
Q0250 YLL041C
Q0250 YGR062C
Q0250 YPR191W
Q0250 Q0085
Q0250 Q0130
Q0275 YMR145C
Q0275 Q0085
Q0275 Q0110
Q0275 YPR191W
Q0275 Q0115
Q0275 YOR065W
Q0275 YJL166W
Q0275 YGL191W
Q0275 YGR183C
Q0275 YNL052W
Q0275 YDL085W
Q0275 YDR529C
Q0275 Q0250
Q0275 Q0105
Q0275 YMR256C
Q0275 YER153C
Q0275 YDL067C
Q0275 Q0070
Q0275 YGR222W
Q0275 YHR001W-A
Q0275 YLR038C
Q0275 YNR018W
Q0275 YHR051W
Q0275 YNR045W
Q0275 Q0050
Q0275 YFR033C
Q0275 Q0120
Q0275 YEL024W
Q0275 YDR119W-A
Q0275 Q0065
Q0275 YML120C
Q0275 YIL111W
Q0275 Q0045
Q0275 YGL187C
Q0275 YML030W
Q0275 Q0060
Q0275 YLR395C
Q0275 YBL045C
Q0297 Q0182
Q0297 Q0142
Q0297 Q0032
Q0297 Q0010
Q0297 Q0017
Q0297 Q0143
YAL001C YGR246C
YAL001C YBR123C
YAL001C YNL039W
YAL001C YPL007C
YAL001C YDR362C
YAL001C YER148W
YAL001C YPR186C
YAL001C YOR110W
YAL001C YGR047C
YAL002W YGL095C
YAL002W YOR089C
YAL002W YLR396C
YAL002W YOR106W
YAL002W YJL053W
YAL002W YML001W
YAL002W YDL077C
YAL002W YDR495C
YAL002W YDR080W
YAL002W YKR014C
YAL002W YLR417W
YAL002W YPL045W
YAL002W YMR231W
YAL002W YOR036W
YAL002W YDR323C
YAL002W YNL093W
YAL002W YLR148W
YAL002W YGL124C
YAL003W YJR123W
YAL003W YKL081W
YAL003W YLR325C
YAL003W YLR406C
YAL003W YPR080W
YAL003W YDR418W
YAL003W YGL147C
YAL003W YOR096W
YAL003W YKL006W
YAL003W YJR094W-A
YAL003W YGL135W
YAL003W YPL131W
YAL003W YIL069C
YAL003W YER074W
YAL003W YLR048W
YAL003W YPL198W
YAL003W YGR034W
YAL003W YBR181C
