node1 node2
PHO2 FMP33
PHO2 MET3
PHO2 ILV3
PHO2 BNA1
PHO2 BNA2
PHO2 YJR096W
PHO2 DAN1
PHO2 THI11
PHO2 URA1
PHO2 YKL177W
PHO2 PGM1
PHO2 OAC1
PHO2 APE1
PHO2 YKL030W
PHO2 GPX1
PHO2 PLN1
PHO2 FMP46
PHO2 KTR2
PHO2 MTD1
PHO2 UBP11
PHO2 KNS1
PHO2 OSW2
PHO2 SHM2
PHO2 XYL2
PHO2 EMP46
PHO2 SUL2
PHO2 YPS1
PHO2 YPS3
PHO2 PUT1
PHO2 YLR149C
PHO2 UPS2
PHO2 YLR171W
PHO2 IDP2
PHO2 TFS1
PHO2 YLR179C
PHO2 SAM1
PHO2 NCW2
PHO2 PBA1
PHO2 HMX1
PHO2 IFH1
PHO2 SYM1
PHO2 YLR252W
PHO2 YLR255C
PHO2 BOP2
PHO2 DCS1
PHO2 YLR297W
PHO2 ECM38
PHO2 ACO1
PHO2 CDA1
PHO2 TMA10
PHO2 SPO77
PHO2 GAS2
PHO2 YLR349W
PHO2 ATG33
PHO2 REH1
PHO2 RPS29A
PHO2 PUN1
PHO2 URA4
PHO2 ERO1
PHO2 MSC1
PHO2 PHO84
PHO2 TSL1
PHO2 AIM33
PHO2 SMA2
PHO2 YML009W-B
PHO2 ADI1
PHO2 HXT2
PHO2 YET2
PHO2 SNO1
PHO2 ADE17
PHO2 RPL13B
PHO2 PAI3
PHO2 SIP18
PHO2 ADD37
PHO2 HSC82
PHO2 GCV2
PHO2 GAS3
PHO2 GAD1
PHO2 HOR7
PHO2 THI12
PHO2 BXI1
PHO2 PRM1
PHO2 GOR1
PHO2 YGP1
PHO2 YNL134C
PHO2 YNL115C
PHO2 YNL109W
PHO2 RPS7B
PHO2 PBI2
PHO2 SPO1
PHO2 IDP3
PHO2 CIT1
PHO2 EGO4
PHO2 YNR071C
PHO2 HXT17
PHO2 AAD15
PHO2 YOL163W
PHO2 YOL162W
PHO2 IMA2
PHO2 HXT11
PHO2 HPF1
PHO2 GAS4
PHO2 MDH2
PHO2 ATG34
PHO2 DDR2
PHO2 LDS2
PHO2 PRE6
PHO2 HMS1
PHO2 PEP12
PHO2 GLO4
PHO2 DCS2
PHO2 GSP2
PHO2 THI72
PHO2 RPN8
PHO2 RDL1
PHO2 YOR289W
PHO2 YOR338W
PHO2 UBC11
PHO2 ATF1
PHO2 YPL278C
PHO2 CIN2
PHO2 HSP82
PHO2 RPL5
PHO2 RPS6A
PHO2 YPL088W
PHO2 OAZ1
PHO2 SKS1
PHO2 VTC3
PHO2 IRC15
PHO2 PDH1
PHO2 GLN1
PHO2 YPR078C
PHO2 SUE1
PHO2 GDH3
PHO2 YAR053W
PHO2 YAR066W
PHO2 SHP1
PHO2 YBL029C-A
PHO2 RCR1
PHO2 UGA2
PHO2 YBR012C
PHO2 YBR013C
PHO2 GAL10
PHO2 FIG1
PHO2 YRO2
PHO2 ECM8
PHO2 POL30
PHO2 COA3
PHO2 TDH1
PHO2 UBX6
PHO2 LOH1
PHO2 YNL277W-A
PHO2 HXT12
PHO2 YAL063C-A
MBP1 YBR090C
MBP1 RAD16
MBP1 AGP2
MBP1 RTC2
MBP1 TOS1
MBP1 SSE2
MBP1 GPX2
MBP1 SUL1
MBP1 MAL32
MBP1 PRD1
MBP1 YCL049C
MBP1 SRO9
MBP1 SRD1
MBP1 HSP30
MBP1 AHC2
MBP1 SOR2
MBP1 HO
MBP1 ATG9
MBP1 YDL124W
MBP1 TMA17
MBP1 KNH1
MBP1 GPM2
MBP1 NTH1
MBP1 SNQ2
MBP1 YDR034W-B
MBP1 SED1
MBP1 AFR1
MBP1 HSP42
MBP1 ADR1
MBP1 HTA1
MBP1 YDR262W
MBP1 YDR391C
MBP1 DIT1
MBP1 ECM11
MBP1 TSA2
MBP1 HSP31
MBP1 YEL073C
MBP1 DLD3
MBP1 PRB1
MBP1 UBC8
MBP1 EDC2
MBP1 GPP2
MBP1 SPI1
MBP1 YER158C
MBP1 THI5
MBP1 OTU1
MBP1 AGX1
MBP1 HSP12
MBP1 IGD1
MBP1 ATG1
MBP1 RRT6
MBP1 HUL5
MBP1 GPG1
MBP1 PYC1
MBP1 MPO1
MBP1 UGA1
MBP1 NQM1
MBP1 ASK10
MBP1 CLB6
MBP1 CLD1
MBP1 BTN2
MBP1 GPC1
MBP1 YGR153W
MBP1 RTS3
MBP1 AMA1
MBP1 SOL4
MBP1 GND2
MBP1 HXT5
MBP1 GRE3
MBP1 YHR138C
MBP1 REC104
MBP1 CRG1
MBP1 OM45
MBP1 SIM1
MBP1 PRM5
MBP1 YIR043C
MBP1 ATG36
MBP1 INO1
MBP1 YJL119C
MBP1 NCA3
MBP1 YJL107C
MBP1 ANB1
MBP1 YJR096W
MBP1 DAN1
MBP1 FAS1
MBP1 PIR3
MBP1 YKL107W
MBP1 APE1
MBP1 YKR015C
MBP1 PLN1
MBP1 KTR2
MBP1 SRL3
MBP1 RNP1
MBP1 HSP104
MBP1 SSA2
MBP1 YLR030W
MBP1 YLR031W
MBP1 YLR042C
MBP1 AHP1
MBP1 USB1
MBP1 IDP2
MBP1 TFS1
MBP1 SAM1
MBP1 FRE1
MBP1 CPR6
MBP1 YLR217W
MBP1 YEF3
MBP1 SYM1
MBP1 HSP60
MBP1 YLR297W
MBP1 ACO1
MBP1 REH1
MBP1 ERO1
MBP1 MSC1
MBP1 CAT2
MBP1 PLB2
MBP1 SPO20
MBP1 YET2
MBP1 ALD3
MBP1 HSC82
MBP1 GAD1
MBP1 HOR7
MBP1 TDA1
MBP1 THI12
MBP1 BXI1
MBP1 YGP1
MBP1 CUZ1
MBP1 MLS1
MBP1 YNL115C
MBP1 AQR1
MBP1 IDP3
MBP1 SIS1
MBP1 NRM1
MBP1 HXT17
MBP1 FRE7
MBP1 MDH2
MBP1 PHM7
MBP1 SDH5
MBP1 ARG1
MBP1 DDR2
MBP1 SGT2
MBP1 HSP10
MBP1 STI1
MBP1 TMC1
MBP1 GCY1
MBP1 DCS2
MBP1 MPC54
MBP1 ISU2
MBP1 GDH1
MBP1 HSP32
MBP1 CIN2
MBP1 HSP82
MBP1 USV1
MBP1 MF(ALPHA)1
MBP1 OYE3
MBP1 SET6
MBP1 CDC60
MBP1 PEP4
MBP1 MEI5
MBP1 GDE1
MBP1 RLM1
MBP1 YPL088W
MBP1 YDC1
MBP1 SUR1
MBP1 SMA1
MBP1 VTC3
MBP1 IRC15
MBP1 CIT3
MBP1 PDH1
MBP1 ATH1
MBP1 CSR2
MBP1 RPL43A
MBP1 RPS23B
MBP1 GPH1
MBP1 CYC3
MBP1 SSA1
MBP1 YAR068W
MBP1 ATG8
MBP1 PRX1
MBP1 MOH1
MBP1 ECM13
MBP1 PRE7
MBP1 HTA2
MBP1 HTB2
MBP1 EDS1
MBP1 FIG1
MBP1 HSP26
MBP1 ECM8
MBP1 POL30
MBP1 SIP4
MBP1 ARG3
MBP1 MPM1
MBP1 TDH1
MBP1 UBX6
MBP1 YJL045W
STP4 GLK1
STP4 HSP30
STP4 PST1
STP4 SPI1
STP4 YGR079W
STP4 TPO2
STP4 DUR3
STP4 RPS20
STP4 YHR145C
STP4 YIL060W
STP4 KTR2
STP4 YPS1
STP4 YPS3
STP4 YLR252W
STP4 YLR297W
STP4 ATG33
STP4 PUN1
STP4 TSL1
STP4 MSS1
STP4 ISF1
STP4 NDE1
STP4 YMR206W
STP4 GAD1
STP4 BXI1
STP4 YGP1
STP4 YNL143C
STP4 CIT1
STP4 HPF1
STP4 ATG34
STP4 YOR019W
STP4 YPL247C
STP4 YPL216W
STP4 ATG5
STP4 YDC1
STP4 UGA2
STP4 YRO2
RPN4 SEO1
RPN4 TDA8
RPN4 YAL064W
RPN4 NHP6B
RPN4 YBR090C
RPN4 YBR099C
RPN4 VID24
RPN4 RAD16
RPN4 TKL2
RPN4 TPS1
RPN4 AGP2
RPN4 ATG42
RPN4 RTC2
RPN4 ARA1
RPN4 TOS1
RPN4 SSE2
RPN4 NPL4
RPN4 UMP1
RPN4 DTR1
RPN4 RPS6B
RPN4 SMP1
RPN4 YPC1
RPN4 GDT1
RPN4 RPS9B
RPN4 RPL21A
RPN4 COS111
RPN4 OM14
RPN4 THI2
RPN4 YBR241C
RPN4 GPX2
RPN4 SPO23
RPN4 RCF3
RPN4 SHM1
RPN4 SDH8
RPN4 YBR284W
RPN4 YBR285W
RPN4 SUL1
RPN4 PHO89
RPN4 MAL33
RPN4 MAL31
RPN4 MAL32
RPN4 PRD1
RPN4 YCL049C
RPN4 SPS22
RPN4 YCL042W
RPN4 GLK1
RPN4 SRO9
RPN4 GRX1
RPN4 HBN1
RPN4 FRM2
RPN4 AGP1
RPN4 ILV6
RPN4 YCL001W-A
RPN4 CIT2
RPN4 YCR007C
RPN4 YCR013C
RPN4 HSP30
RPN4 RPS14A
RPN4 RRT12
RPN4 YCR061W
RPN4 FUB1
RPN4 AHC2
RPN4 TRX3
RPN4 GIT1
RPN4 SOR2
RPN4 THI13
RPN4 GYP7
RPN4 SSB1
RPN4 HBT1
RPN4 FMP45
RPN4 GDH2
RPN4 RTN2
RPN4 YDL199C
RPN4 RPL35A
RPN4 INH1
RPN4 GLT1
RPN4 UGX2
RPN4 ATG9
RPN4 RPN5
RPN4 YDL144C
RPN4 RPL35B
RPN4 STF1
RPN4 RPP1B
RPN4 YDL124W
RPN4 ATG20
RPN4 TMA17
RPN4 RPN6
RPN4 RPS16B
RPN4 RPL13A
RPN4 RPP1A
RPN4 RPL31A
RPN4 RPS29B
RPN4 PRM7
RPN4 YDL032W
RPN4 RTK1
RPN4 DIA3
RPN4 GPM2
RPN4 NOP1
RPN4 YDL009C
RPN4 RPT2
RPN4 NTH1
RPN4 SNQ2
RPN4 RPL4B
RPN4 GCV1
RPN4 ATG31
RPN4 RPS11A
RPN4 MIX14
RPN4 PST2
RPN4 YDR034W-B
RPN4 PST1
RPN4 TGL2
RPN4 UBC5
RPN4 RPS13
RPN4 RRG1
RPN4 FMP16
RPN4 SED1
RPN4 AFR1
RPN4 UBC13
RPN4 SPO71
RPN4 HSP42
RPN4 ARG82
RPN4 COQ4
RPN4 AHA1
RPN4 ADR1
RPN4 CRF1
RPN4 HTA1
RPN4 COX20
RPN4 AMD2
RPN4 MET32
RPN4 CTA1
RPN4 HSP78
RPN4 YAP6
RPN4 YDR262W
RPN4 DON1
RPN4 MTH1
RPN4 ZIP1
RPN4 HIM1
RPN4 ASP1
RPN4 YDR327W
RPN4 UBX5
RPN4 HXT7
RPN4 HXT6
RPN4 ATP22
RPN4 SEM1
RPN4 YDR366C
RPN4 PHO92
RPN4 SDH6
RPN4 ARO10
RPN4 RPP2B
RPN4 EFT2
RPN4 YDR391C
RPN4 RPT3
RPN4 YDR396W
RPN4 YDR401W
RPN4 DIT2
RPN4 DIT1
RPN4 RPL12B
RPN4 YDR426C
RPN4 RPN9
RPN4 ECM11
RPN4 RPS17B
RPN4 RPS18A
RPN4 TSA2
RPN4 GUK1
RPN4 RPL27B
